img_search_addr,score,img_url
"서울특별시 서대문구 통일로9안길 16,조개일번지",4.5,https://place.map.kakao.com/16065313
"서울특별시 서대문구 연희로11라길 2,금옥당",3.7,https://place.map.kakao.com/1426361939
"서울특별시 서대문구 수색로2길 10,소문난갈비",4.4,https://place.map.kakao.com/11666710
"서울특별시 서대문구 모래내로 275,명지 장수오리",4.9,https://place.map.kakao.com/1825938413
"서울특별시 은평구 북한산로 242,세븐가든",0.0,https://place.map.kakao.com/346128313
"서울특별시 은평구 가좌로 232,이조숯불갈비",4.3,https://place.map.kakao.com/1048698573
"서울특별시 은평구 연서로 322,착한낙지",2.8,https://place.map.kakao.com/12764943
"서울특별시 은평구 수색로 190,뉴욕스트립",3.1,https://place.map.kakao.com/1481830730
"서울특별시 은평구 응암로22길 20,통큰손 쭈꾸미마을 응암점",4.6,https://place.map.kakao.com/860492613
"서울특별시 은평구 역말로 18,불백집 2007",4.4,https://place.map.kakao.com/544111185
"서울특별시 은평구 불광로 40-3,봉평산골메밀촌",4.8,https://place.map.kakao.com/15579715
"서울특별시 은평구 연서로26길 8,쭝마루",1.7,https://place.map.kakao.com/1507288723
"서울특별시 종로구 동숭길 117,(주) 육전국밥대학로점",4.4,https://place.map.kakao.com/916837996
"서울특별시 중랑구 사가정로53길 14,옛날순대국",4.3,https://place.map.kakao.com/15906330
"서울특별시 중랑구 동일로 771,현방오백소갈비살",4.8,https://place.map.kakao.com/1474691930
"서울특별시 중랑구 겸재로 188,용마순대국",3.6,https://place.map.kakao.com/2040476574
"서울특별시 중랑구 겸재로 209,육즙",3.7,https://place.map.kakao.com/1173257668
"서울특별시 중랑구 용마산로 464,바지락손칼국수",4.0,https://place.map.kakao.com/567463297
"서울특별시 중랑구 공릉로 32,아구아구아구찜",4.5,https://place.map.kakao.com/1905408878
"서울특별시 중랑구 용마산로 301,용마산숯불생고기",0.0,https://place.map.kakao.com/1497925134
"서울특별시 중랑구 면목로 330-1,온초심숯불닭갈비",4.0,https://place.map.kakao.com/412808002
"서울특별시 중랑구 중랑천로12길 40,바다회천국",0.0,https://place.map.kakao.com/1656459204
"서울특별시 중랑구 용마산로 713,벌교 계절맛집",3.4,https://place.map.kakao.com/21626355
"서울특별시 중랑구 신내로 211,아라스시",0.0,https://place.map.kakao.com/955421233
"서울특별시 중랑구 동일로 825,착한먹거리",0.0,https://place.map.kakao.com/1449982429
"서울특별시 송파구 송파대로28길 27,반포식스 가락점",4.7,https://place.map.kakao.com/218149936
"서울특별시 송파구 백제고분로32길 3,동천산꼼장어",5.0,https://place.map.kakao.com/1890795591
"서울특별시 송파구 올림픽로51길 13,구가국수",4.7,https://place.map.kakao.com/551207638
"서울특별시 송파구 삼전로12길 9,등촌샤브샤브칼국수 잠실점",장소 없음,없음
"서울특별시 송파구 백제고분로7길 15,옥된장 잠실새내점",5.0,https://place.map.kakao.com/864937117
"서울특별시 송파구 송파대로 106-16,산농채1",0.0,https://place.map.kakao.com/1172225765
"서울특별시 송파구 동남로18길 14-1,행복 떡볶이",5.0,https://place.map.kakao.com/1992827479
"서울특별시 송파구 양재대로71길 4-27,방이굴림만두 떼굴",4.9,https://place.map.kakao.com/161724103
"서울특별시 송파구 백제고분로7길 6-15,포몬스 잠실점 (Phomons)",3.4,https://place.map.kakao.com/13332058
"서울특별시 송파구 올림픽로35길 94,유지안",장소 없음,없음
"서울특별시 송파구 바람드리길 36-2,둘둘말은김밥",0.0,https://place.map.kakao.com/829384409
"서울특별시 송파구 중대로 310,호수",4.5,https://place.map.kakao.com/27212955
"서울특별시 송파구 성내천로 88,만복래",5.0,https://place.map.kakao.com/456667108
"서울특별시 송파구 양재대로71길 4-12,농부",3.5,https://place.map.kakao.com/9005294
"서울특별시 송파구 백제고분로41길 41,메종성수돈(송파점)",4.5,https://place.map.kakao.com/1810325720
"서울특별시 송파구 동남로 143,백제 추어탕",4.8,https://place.map.kakao.com/1541182222
"서울특별시 송파구 오금로13길 7,제일곱창",4.2,https://place.map.kakao.com/29998417
"서울특별시 송파구 법원로 128,송도갈비 송파문정점 (주)신화푸드",장소 없음,없음
"서울특별시 광진구 능동로 175,마당족발",장소 없음,없음
"서울특별시 광진구 능동로 125,마초쉐프건대점",3.2,https://place.map.kakao.com/1359276887
"서울특별시 광진구 자양로18길 56,연화식당",4.1,https://place.map.kakao.com/615109190
"서울특별시 광진구 광나루로 344,명품돼지부속전문",4.9,https://place.map.kakao.com/27243785
"서울특별시 광진구 광장로 49,태천면옥",4.1,https://place.map.kakao.com/696513859
"서울특별시 광진구 동일로18길 67,한남성 왕꼬치",5.0,https://place.map.kakao.com/1920655034
"서울특별시 광진구 아차산로 377,탐나종합어시장 구의역점",2.6,https://place.map.kakao.com/1602881473
"서울특별시 광진구 자양로18길 14,옥된장 구의점",4.0,https://place.map.kakao.com/1095729390
"서울특별시 광진구 아차산로29길 44,화양양고기꼬치전문점",장소 없음,없음
"서울특별시 광진구 아차산로 471,고고기",4.4,https://place.map.kakao.com/899891312
"서울특별시 광진구 동일로 402,양평해장국",4.0,https://place.map.kakao.com/155017963
"서울특별시 광진구 능동로 264,서울돼지구이",4.8,https://place.map.kakao.com/744009064
"서울특별시 광진구 아차산로41길 22,백돈 구의점",5.0,https://place.map.kakao.com/832347531
"서울특별시 광진구 군자로 101,또래끼리",장소 없음,없음
"서울특별시 광진구 능동로 338,임면옥",4.0,https://place.map.kakao.com/1235969331
"서울특별시 광진구 동일로18길 17,마마향 양갈비",5.0,https://place.map.kakao.com/1393016436
"서울특별시 광진구 능동로 302,창바위황태",3.3,https://place.map.kakao.com/1568876595
"서울특별시 광진구 아차산로76길 6,오늘도낙지",4.4,https://place.map.kakao.com/943902035
"서울특별시 광진구 천호대로 591,택이네조개전골",3.4,https://place.map.kakao.com/461792112
"서울특별시 광진구 동일로60길 49,참숯나라 갈비마을",4.0,https://place.map.kakao.com/9426201
"서울특별시 광진구 아차산로 482,양촌리 생삼겹살",,https://place.map.kakao.com/20883333
"서울특별시 강북구 도봉로10길 46,춘천골닭갈비",5.0,https://place.map.kakao.com/755930659
"서울특별시 강북구 노해로 45,육빙고(肉氷庫)",장소 없음,없음
"서울특별시 강북구 도봉로 313,육전국밥 수유역점",3.3,https://place.map.kakao.com/1324321424
"서울특별시 강북구 노해로8길 29,하와이조개 수유점",4.7,https://place.map.kakao.com/955249724
"서울특별시 강북구 오패산로77길 42,정서연들깨칼국수/한방삼계탕",장소 없음,없음
"서울특별시 강북구 한천로 1005,전준수 명품청기와 감자탕",4.0,https://place.map.kakao.com/1749127865
"서울특별시 강북구 삼양로95길 3,산채가",4.5,https://place.map.kakao.com/27326541
"서울특별시 강북구 노해로 122,참맛설렁탕",5.0,https://place.map.kakao.com/282070845
"서울특별시 강북구 삼양로29길 11,낙지마을",0.0,https://place.map.kakao.com/16767725
"서울특별시 강북구 삼양로 188,그회우리는",장소 없음,없음
"서울특별시 강북구 삼각산로 101,가오리 수제생갈비",0.0,https://place.map.kakao.com/1629405009
"서울특별시 강북구 솔샘로68길 34,주막칼국수",5.0,https://place.map.kakao.com/1517380314
"서울특별시 강북구 한천로150길 43,봉평메밀촌",4.2,https://place.map.kakao.com/455664072
"서울특별시 강남구 강남대로122길 12,논골집 영동점",3.3,https://place.map.kakao.com/8846917
"서울특별시 강남구 압구정로10길 40,자매의부엌",3.8,https://place.map.kakao.com/626794006
"서울특별시 강남구 학동로37길 23,천미향",2.9,https://place.map.kakao.com/2091118619
"서울특별시 강남구 언주로133길 18,물고기자리",4.6,https://place.map.kakao.com/7875394
"서울특별시 강남구 논현로151길 11,꼬륵 수제도시락",3.8,https://place.map.kakao.com/1532633768
"서울특별시 강남구 봉은사로 167,일일향 논현점",장소 없음,없음
"서울특별시 강남구 역삼로5길 6,대운식당",4.1,https://place.map.kakao.com/1276802054
"서울특별시 강남구 강남대로160길 17,소각(Sogak)",장소 없음,없음
"서울특별시 강남구 도산대로34길 11,삼호짱뚱이",4.6,https://place.map.kakao.com/7929136
"서울특별시 강남구 강남대로114길 21,노들강",3.4,https://place.map.kakao.com/8215974
"서울특별시 강남구 봉은사로1길 6,개성집",3.0,https://place.map.kakao.com/8680507
"서울특별시 강남구 언주로147길 9,(주)예",장소 없음,없음
"서울특별시 강남구 압구정로 344,영양센타압구정점",3.4,https://place.map.kakao.com/8501640
"서울특별시 강남구 강남대로 328,육목원",,https://place.map.kakao.com/609286803
"서울특별시 강남구 선릉로 660,마끼",5.0,https://place.map.kakao.com/1796319801
"서울특별시 강남구 언주로148길 14,한성칼국수",,https://place.map.kakao.com/8140834
"서울특별시 강남구 언주로133길 18,진전복삼계탕 논현본점",4.6,https://place.map.kakao.com/445430353
"서울특별시 강남구 학동로 224,논현빈대떡",2.7,https://place.map.kakao.com/16878382
"서울특별시 강남구 역삼로1길 18,아방궁",3.6,https://place.map.kakao.com/25550206
"서울특별시 강남구 광평로46길 6,주식회사 온화담",장소 없음,없음
"서울특별시 강남구 선릉로112길 18,담미온",3.4,https://place.map.kakao.com/1099825017
"서울특별시 강남구 테헤란로81길 16,호신각",3.9,https://place.map.kakao.com/948434557
"서울특별시 강남구 봉은사로30길 67,경성양육관",0.0,https://place.map.kakao.com/1439772845
"서울특별시 강남구 봉은사로37길 31,방일해장국",3.9,https://place.map.kakao.com/16060238
"서울특별시 강남구 선릉로 649,청담보쌈",4.0,https://place.map.kakao.com/380551751
"서울특별시 강남구 선릉로 517,이자카야나무(선릉점)",3.8,https://place.map.kakao.com/1040622143
"서울특별시 강남구 테헤란로25길 11,신복관 한우육개장 전문점",장소 없음,없음
"서울특별시 강남구 영동대로85길 6,백가향",4.5,https://place.map.kakao.com/1352630279
"서울특별시 강남구 강남대로 640,야키니쿠 규",3.5,https://place.map.kakao.com/1059348837
"서울특별시 강남구 강남대로84길 33,신조준형",3.1,https://place.map.kakao.com/853641250
"서울특별시 강남구 학동로2길 30,삼미",3.8,https://place.map.kakao.com/16037922
"서울특별시 강남구 테헤란로25길 31,온심옥 역삼본점",4.1,https://place.map.kakao.com/165817615
"서울특별시 강남구 개포로 621,청송일식",5.0,https://place.map.kakao.com/18836902
"서울특별시 강남구 봉은사로7길 9,영인성",,https://place.map.kakao.com/10649203
"서울특별시 강남구 강남대로 324,청계숲양대창 (강남직영점)",4.6,https://place.map.kakao.com/714973826
"서울특별시 강남구 학동로 343,구월의 소철",4.6,https://place.map.kakao.com/177587345
"서울특별시 강남구 언주로172길 56,(주)압구정하루",4.1,https://place.map.kakao.com/10867025
"서울특별시 강남구 영동대로142길 13-3,뜨락",,https://place.map.kakao.com/7857098
"서울특별시 강남구 테헤란로 129,애호락 강남직영점",,https://place.map.kakao.com/1879378640
"서울특별시 강남구 삼성로86길 23,후지",4.8,https://place.map.kakao.com/10030025
"서울특별시 강남구 봉은사로2길 23,까사생갈비",4.3,https://place.map.kakao.com/279490770
"서울특별시 강남구 영동대로 407,스시유",3.3,https://place.map.kakao.com/17178309
"서울특별시 강남구 언주로 123,(주)일일향 도곡1호점",3.6,https://place.map.kakao.com/896322696
"서울특별시 강남구 언주로150길 21,문",장소 없음,없음
"서울특별시 강남구 일원로5길 16,먹소",5.0,https://place.map.kakao.com/662932862
"서울특별시 강남구 선릉로91길 18,무등산 카이로스",0.0,https://place.map.kakao.com/449839913
"서울특별시 강남구 역삼로 453,주식회사 남산희래등",3.4,https://place.map.kakao.com/11278248
"서울특별시 강남구 테헤란로84길 12,자연산 횟집",3.6,https://place.map.kakao.com/24711376
"서울특별시 강남구 선릉로93길 18,바오로흑염소",4.5,https://place.map.kakao.com/783257216
"서울특별시 강남구 개포로 210,혼",장소 없음,없음
"서울특별시 강남구 논현로168길 22,이마스시",,https://place.map.kakao.com/8041145
"서울특별시 강남구 자곡로 172,금화중식당",4.1,https://place.map.kakao.com/1108073767
"서울특별시 강남구 개포로82길 9-15,장군 주먹고기",4.6,https://place.map.kakao.com/27238934
"서울특별시 강남구 강남대로94길 20,쑤항계절 강남점",장소 없음,없음
"서울특별시 강남구 테헤란로1길 44,중경마라탕",3.7,https://place.map.kakao.com/1665040674
"서울특별시 강남구 영동대로112길 10,삼환",3.1,https://place.map.kakao.com/8137464
"서울특별시 강남구 압구정로79길 32,청담25",3.6,https://place.map.kakao.com/1570632448
"서울특별시 강남구 논현로79길 62,고래불",3.7,https://place.map.kakao.com/8652100
"서울특별시 강남구 강남대로94길 70,취원",2.0,https://place.map.kakao.com/8581075
"서울특별시 강남구 테헤란로10길 21,그냥찌개집",2.8,https://place.map.kakao.com/1743104792
"서울특별시 강남구 테헤란로5길 11,강남진해장",3.3,https://place.map.kakao.com/1428481536
"서울특별시 강남구 테헤란로10길 21,카쿠레가 역삼 직영점",3.7,https://place.map.kakao.com/40667833
"서울특별시 강남구 논현로85길 57,대구뽈지리탕",장소 없음,없음
"서울특별시 강남구 논현로 429,최수사 대게마을",3.9,https://place.map.kakao.com/16932713
"서울특별시 강남구 압구정로79길 15,주식회사 에피블랑제리(Epi Boulangerie)",장소 없음,없음
"서울특별시 강남구 테헤란로1길 19,장인닭갈비",3.5,https://place.map.kakao.com/95713992
"서울특별시 강남구 언주로141길 6,우미각",장소 없음,없음
"서울특별시 성동구 광나루로 320-1,두루치기김치찌개",4.8,https://place.map.kakao.com/27245253
"서울특별시 성동구 천호대로 328,동호일식",3.4,https://place.map.kakao.com/10279133
"서울특별시 성동구 상원길 24,돈벼락맛집",3.0,https://place.map.kakao.com/16850172
"서울특별시 성동구 용답29길 21,동수원 숯불갈비",3.6,https://place.map.kakao.com/1328608791
"서울특별시 성동구 마조로7길 9-1,쭈식이 상회",4.0,https://place.map.kakao.com/745698606
"서울특별시 성동구 무학로2길 43,귀한족발 왕십리점",장소 없음,없음
"서울특별시 성동구 뚝섬로 385-32,명태촌",4.7,https://place.map.kakao.com/1441478616
"서울특별시 성동구 왕십리로2길 34,목금",4.0,https://place.map.kakao.com/1715926564
"서울특별시 성동구 금호산길 49-1,먹깨비식당",3.2,https://place.map.kakao.com/15992890
"서울특별시 성동구 독서당로 295-7,골목냉면",2.8,https://place.map.kakao.com/8697587
"서울특별시 성동구 무학봉28길 12,수현회집",3.4,https://place.map.kakao.com/21301775
"서울특별시 성동구 성수이로3길 19,어랑회집",3.0,https://place.map.kakao.com/9217362
"서울특별시 성동구 독서당로 296-11,소설옥",,https://place.map.kakao.com/73030547
"서울특별시 성동구 연무장5가길 7,부산밀면",4.5,https://place.map.kakao.com/706511865
"서울특별시 성동구 왕십리로31가길 31,산수골추어탕감자탕",장소 없음,없음
"서울특별시 성동구 금호로 45,정은회관",3.0,https://place.map.kakao.com/9374226
"서울특별시 성동구 성수일로 77,강남면옥(성수점)",3.0,https://place.map.kakao.com/20304491
"서울특별시 성동구 행당로17길 7,왕십리 오리사냥",3.8,https://place.map.kakao.com/12702135
"서울특별시 성동구 서울숲4길 26-10,온량",3.7,https://place.map.kakao.com/1493852185
"서울특별시 성동구 무학로6길 51,왕십리연탄집",3.3,https://place.map.kakao.com/809925978
"서울특별시 성동구 상원길 40,손박사삼겹살",장소 없음,없음
"서울특별시 성동구 마장로 284,대성장",2.8,https://place.map.kakao.com/10250194
"서울특별시 성동구 독서당로40길 33,옥수주먹고기",4.4,https://place.map.kakao.com/22454478
"서울특별시 성동구 왕십리로 410,오캄",,https://place.map.kakao.com/786880177
"서울특별시 성동구 무학로12길 3,대도식당",,https://place.map.kakao.com/109959892
"서울특별시 성동구 뚝섬로3길 9,고흥만",4.9,https://place.map.kakao.com/27171617
"서울특별시 성동구 용답중앙11길 13,남원추어탕",0.0,https://place.map.kakao.com/310332815
"서울특별시 성동구 왕십리로24길 10-2,고깃집 왕고을",4.3,https://place.map.kakao.com/1294029566
"서울특별시 성동구 성수일로12길 30,일미돼지국밥",3.6,https://place.map.kakao.com/16589756
"서울특별시 성동구 왕십리로20길 11-1,담쟁이",4.4,https://place.map.kakao.com/16648129
"서울특별시 성동구 광나루로 287,싸리골",4.0,https://place.map.kakao.com/24005949
"서울특별시 성동구 아차산로7길 28,그린한식뷔페",4.7,https://place.map.kakao.com/423824028
"서울특별시 성동구 무학로2길 37,달인의 족발",4.4,https://place.map.kakao.com/8533762
"서울특별시 성동구 용답중앙15길 12,신마포 갈매기(용답점)",2.1,https://place.map.kakao.com/19604477
"서울특별시 성동구 상원10길 7,시원(SEAONE)",장소 없음,없음
"서울특별시 성동구 왕십리로 78,승리원",2.0,https://place.map.kakao.com/11247693
"서울특별시 성동구 마조로7길 4,스시존",3.8,https://place.map.kakao.com/337137078
"서울특별시 성동구 마장로29길 40,궁중한우",5.0,https://place.map.kakao.com/25503841
"서울특별시 성동구 광나루로 303-13,군산복집",4.3,https://place.map.kakao.com/1166096280
"서울특별시 성동구 마장로 211,소대식당",5.0,https://place.map.kakao.com/16376846
"서울특별시 성동구 아차산로3길 9,성일한우정육점식당",2.7,https://place.map.kakao.com/1582312126
"서울특별시 성동구 성수일로12길 33,성수동양갈비",4.8,https://place.map.kakao.com/1774035310
"서울특별시 성동구 왕십리로6길 1-2,주)비사벌",장소 없음,없음
"서울특별시 성동구 왕십리로24길 9,다현목포낙지",장소 없음,없음
"서울특별시 성동구 마조로7길 12,곱창하우스",3.1,https://place.map.kakao.com/16039417
"서울특별시 성동구 왕십리로28길 4,부성식당",3.0,https://place.map.kakao.com/1420362291
"서울특별시 성동구 왕십리로4길 20,아오미",2.9,https://place.map.kakao.com/817789257
